season,game_id,team,X1PP,X2PP,X3PP,AST,OREB,TO,MOV
2018,865d5d1a-dac5-43bd-9103-1e04da4ce617,CHI,0.695652174,0.543859649,0.48,25,5,20,2
2017,68682f7e-b503-4b27-88ca-1033ca2155b1,MIN,0.761904762,0.476923077,0.4375,21,15,11,6
2018,31e12e79-9ad5-4a5a-ab50-2b0f84d101e8,MIN,0.875,0.5,0.333333333,25,18,9,5
2017,91ab5fb7-c797-4ac8-b9ca-f5d0d1f41c9a,ORL,0.571428571,0.459016393,0.333333333,24,7,12,-11
2018,75f724c2-9c0b-401b-9f56-4a8494bc1e39,PHO,0.555555556,0.566037736,0.205882353,23,5,13,-27
2018,71b6f73f-fc86-4d93-b0f0-a082f1452b3d,OKC,0.772727273,0.523076923,0.36,17,9,13,-2
2018,630db0b6-909e-4b2d-90f6-f2fcc73b9a62,GS,0.6875,0.6,0.289473684,30,9,15,-9
2019,0349a89e-b2c0-4401-84ea-8be6f1725992,LAK,0.727272727,0.537037037,0.344827586,18,18,19,-24
2018,84710f71-39db-40c5-aed8-0b8247827ff4,BOS,0.857142857,0.517241379,0.387096774,28,6,13,-8
2017,97de3840-6ca4-4e70-b07f-553b12a9c232,UTA,0.882352941,0.596153846,0.21875,23,6,14,-10
2018,70fba0b5-9629-443e-bb24-158e7c006151,BKN,0.875,0.555555556,0.4,22,12,22,2
2018,dc2931e7-2503-405a-9b95-cf201083a6b0,CLE,0.928571429,0.472727273,0.322580645,24,9,16,-7
2018,5773adbc-5733-40f4-bdc9-988ed1b082dd,DAL,0.846153846,0.472222222,0.347826087,20,17,16,4
2019,d721a594-6985-4f51-9abe-2adca1f5dbca,ATL,0.806451613,0.461538462,0.451612903,27,9,13,-8
2019,7244eb7f-45ff-4b72-8c7d-c3ec166e6e12,ATL,0.85,0.516129032,0.451612903,25,12,15,13
2018,c295e1f1-5393-41a8-892e-8fc307eedc65,BKN,0.785714286,0.577777778,0.315789474,22,5,12,14
2018,af714a85-a62a-4a40-84c3-3ff80c1455ec,SAC,0.8125,0.575,0.347826087,28,15,10,27
2019,b1f4ae22-45b9-4c72-b87b-f5d869be6568,LAK,0.857142857,0.52173913,0.472222222,27,6,17,30
2019,e0a300df-d9dc-4c39-910e-3c6d24bd219e,CHI,0.625,0.365079365,0.386363636,26,14,10,-21
2017,daa8f647-2f2e-43d8-a1ab-1052976f25c4,LAK,0.782608696,0.534482759,0.333333333,25,8,16,5
2018,d5458c86-efcf-4bb0-93ae-f9d77048f2ca,POR,0.875,0.534482759,0.25,15,17,16,30
2018,0baa0ff7-e54d-4cab-a693-1149336d968d,LAC,0.612903226,0.535714286,0.307692308,27,9,16,-32
2018,77b4f7f0-a3af-4c75-8745-d4598000012f,SA,0.941176471,0.625,0.391304348,28,4,6,27
2017,e77d9d88-1802-479d-b37c-a29ca97a180c,SA,0.8,0.555555556,0.212121212,19,10,10,-13
2017,942634dc-9b3e-47b5-8753-dc28b75e53c6,BOS,0.774193548,0.449275362,0.24137931,20,16,13,11
2019,558594ac-b667-4050-9677-286a33b5a0c6,NO,0.666666667,0.509433962,0.268292683,20,9,11,-21
2017,a7d50cfd-3b96-4a6c-9457-56bbf8ab1a59,LAC,0.833333333,0.464285714,0.222222222,18,14,12,5
2019,9a75659f-81e2-4a0d-a78c-1dc81a5b5849,BOS,0.931034483,0.55,0.323529412,21,3,14,2
2017,67ec0021-e985-4dca-869f-fb6a4da50313,TOR,0.739130435,0.469387755,0.35483871,24,12,20,5
2018,f93f6dd7-98f4-49c9-9ee5-a9c71ed43244,HOU,0.878787879,0.688888889,0.217391304,17,12,12,2
2018,4b5a9c7d-8855-4704-8696-630ff572faa6,UTA,0.692307692,0.576923077,0.351351351,31,8,11,15
2017,e4855585-7a31-44c4-9024-fccb4a2264e4,DAL,0.769230769,0.454545455,0.457142857,24,15,15,26
2017,78d15c03-8ceb-4a16-b682-d974e9652b73,NY,1,0.432432432,0.428571429,30,13,8,-13
2017,ab11dde5-87c2-4107-8620-48562b8dc288,DET,0.8125,0.604166667,0.352941176,26,10,10,24
2019,555ac972-4ae3-4651-8f8c-d59262c8d180,NY,0.7,0.561643836,0.185185185,26,14,13,-12
2019,e3003023-a1d5-4867-a49e-8861dafcbeb2,POR,0.689655172,0.421875,0.387096774,18,15,12,8
2019,530d56e3-57e2-409b-8fe0-aef1bb9ea710,MIN,0.714285714,0.543859649,0.40625,25,15,14,14
2018,b3a37f60-a989-4343-b00d-86d8b714f434,POR,0.833333333,0.58,0.303030303,23,14,19,8
2019,a265f4d9-4c31-4553-88fb-9c6ccff0e19c,IND,0.76,0.543859649,0.333333333,25,6,12,-14
2019,195921ba-503d-4c8a-954e-7160fd44de2b,PHI,0.727272727,0.46875,0.275862069,19,15,9,7
2018,e2ddbcba-708b-4c1b-8130-dfb7fc0907f4,CLE,0.787878788,0.483870968,0.173913043,20,11,6,-13
2017,7b5510c2-9c20-4e1a-a0de-d113e5509c58,SA,0.833333333,0.545454545,0.4,22,5,8,9
2018,86112111-721f-4e00-9714-0c66ab34e0dd,MLW,0.933333333,0.49122807,0.302325581,24,9,11,15
2019,5602fdea-6f33-4f46-8d19-f48e7e8ccec0,ORL,0.851851852,0.569230769,0.25,24,12,9,32
2019,5aa30bb1-bca7-4fff-bfc6-909e781c447c,ORL,0.741935484,0.490909091,0.307692308,21,11,18,12
2018,73d80eef-b06a-4890-a886-50aa897a5d0f,WAS,0.743589744,0.563636364,0.269230769,19,7,14,-1
2018,4e539bd0-3e98-4335-96b4-9848c62c892e,SAC,0.608695652,0.637931034,0.40625,26,8,8,15
2017,fba9c808-136c-44a3-8092-d62b4f15618d,DET,0.72,0.514705882,0.375,20,8,7,9
2019,a79c23cf-e278-4e96-827c-ffe04e74721d,LAK,0.75,0.6,0.290322581,33,6,15,-10
2019,c14a3f81-ddbf-4f4a-a4a3-d21c04d77e17,LAK,0.75862069,0.540540541,0.513513514,25,6,19,23
2018,0ec8d41c-467e-49c7-a372-9194843fe238,DEN,0.708333333,0.445945946,0.28,25,16,12,-7
2018,f2d232af-1b6f-490a-9130-a566ba459835,NO,0.636363636,0.625,0.516129032,35,12,16,20
2019,a4386c3d-7e5b-483a-9537-ded1217f760b,BOS,0.828571429,0.612244898,0.512820513,29,6,14,34
2018,0c4308f8-08b7-49e3-8dbc-52ff1455991f,LAK,0.884615385,0.475409836,0.46875,25,11,13,9
2019,6bbda32a-b248-4e9e-ab43-5ea77eb382eb,ATL,0.807692308,0.5,0.3125,26,9,17,-12
2017,3dcdc0ac-d7ba-48f7-a24a-048e43ab4c8a,MEM,0.866666667,0.512820513,0.294117647,18,9,18,5
2017,013a0892-61fd-46a0-a89f-e40d07a05f5f,UTA,0.888888889,0.509090909,0.4375,24,9,11,29
2017,420cea7e-4fc5-47bf-a1e4-66b5d8c81a56,NY,0.8,0.555555556,0.444444444,29,8,11,27
2017,5afbdfeb-cb01-49b3-96b9-eeefd7f86de1,ORL,0.75862069,0.507246377,0.380952381,22,11,14,7
2018,945a19e4-9be6-4d6b-8b93-06086cd22601,NY,0.857142857,0.462686567,0.5,28,8,17,-12
2018,108e3452-c0f2-4beb-a893-9ba07af46d7d,TOR,0.857142857,0.729166667,0.384615385,36,5,13,21
2018,01b9ac8c-e945-4687-bae9-64e8a0eb2210,NO,0.911764706,0.516129032,0.4,29,10,11,10
2017,fc91dfe6-18d0-4682-a803-45efe8642bae,POR,0.92,0.586956522,0.315789474,28,8,13,15
2017,50c1f55c-0bb5-4f23-8fb4-fe86868cad92,PHI,0.76,0.561403509,0.375,27,7,11,11
2018,6603ba94-d805-4107-9d8f-ddc3cd90fd81,MIN,0.827586207,0.580645161,0.434782609,29,6,13,-6
2018,7e1e6a28-2c76-45bc-9ae2-b9589e6aca0b,ORL,0.714285714,0.476190476,0.193548387,18,12,15,-32
2017,d45a4df9-20b0-41b3-aaa8-e02b9e6e7252,OKC,0.612903226,0.543859649,0.52,24,15,19,3
2018,36a0414e-b790-4083-9353-91f9945e17dc,UTA,0.657894737,0.555555556,0.292682927,21,7,14,-3
2018,15a4ab7c-4828-400c-8537-b98c0434e5c2,BKN,0.88,0.5,0.342105263,18,13,17,7
2018,e6a924ef-fd1a-4478-8030-854c740f214d,MIA,0.631578947,0.396226415,0.393939394,25,15,11,18
2017,5fbc0ead-59ef-47e8-83de-ff6f9013e3b7,ATL,1,0.612244898,0.305555556,33,5,14,6
2019,9301e590-2087-4b26-8125-b2082a4c1cb2,PHI,0.666666667,0.5,0.294117647,25,11,15,-19
2018,5b602749-95c8-47f3-bb91-46014147f71a,LAC,0.766666667,0.538461538,0.428571429,34,12,12,6
2019,b8a7ca74-d825-44c5-8341-f96172df5382,BKN,0.727272727,0.358974359,0.31372549,24,9,13,-25
2019,147bef60-aaad-491a-a96b-66fff00de35a,MIA,0.795454545,0.5,0.314285714,20,10,17,5
2017,c8a217de-42a9-44e8-ab54-811323796758,TOR,0.689655172,0.465517241,0.5,26,5,10,4
2018,7baf0441-af4b-4980-8a2b-f73117026f29,WAS,0.875,0.625,0.351351351,35,9,12,4
2018,d9753838-0261-45e9-91b7-8f73dca5610f,DET,0.782608696,0.452830189,0.272727273,21,15,11,4
2019,983b3070-5302-49e4-afe5-cf01ff3f988e,WAS,0.885714286,0.466666667,0.483870968,24,9,16,6
2018,be107e90-285a-484b-bb6f-313d19610639,OKC,0.565217391,0.327272727,0.317073171,18,17,16,-22
2017,595031de-92ed-498e-87b1-23dfabe6661a,PHO,0.764705882,0.442622951,0.37037037,18,12,16,-13
2017,8327a951-ea24-4ded-b42b-db0399d21d40,MIN,0.714285714,0.506666667,0.3,27,13,9,6
2017,d2c2016a-2d8b-459e-9b85-91f9e25b7b04,WAS,0.923076923,0.618181818,0.333333333,30,12,16,3
2019,655cd5d1-461b-4273-836c-c8a5a8701fb0,LAK,0.636363636,0.559322034,0.394736842,34,13,16,-1
2018,8207dbed-1af3-48aa-b35a-cf512376a84d,LAC,0.615384615,0.540540541,0.551724138,35,14,14,32
2018,e31dbf55-0b51-4df0-bb04-c85b5fc6dbc4,BOS,0.933333333,0.440677966,0.375,23,15,14,-4
2018,c99daf95-d238-4a2d-bbfc-5586386bd6bb,ORL,0.818181818,0.5,0.388888889,20,11,15,-2
2017,508bc31b-2841-43b9-b7ed-824ee746880b,WAS,0.75,0.448979592,0.461538462,30,11,12,14
2017,f86ccda8-f995-4739-97e7-05f22ac9a471,MIN,0.666666667,0.625,0.227272727,23,6,20,-3
2017,9fbd4fc9-a9af-459e-896b-affaaaa2fb8a,OKC,0.785714286,0.423076923,0.371428571,20,11,12,-7
2019,45395bd8-8f07-4066-8892-e4e78d15edb2,CLE,0.863636364,0.553191489,0.323529412,20,12,25,-12
2018,19e56fe1-38d8-41c3-87d6-e009169f8515,LAK,0.666666667,0.560606061,0.434782609,28,14,16,14
2018,16ca1dc6-9c42-49dd-afaa-ca7034605b18,MLW,0.708333333,0.5,0.425,27,19,14,11
